Type,Policy Name,Path,Standard,Customer,State
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-Win11,/attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-Win11,"""blockuntrustedunsignedprocessesthatrunfromusb_block""","""blockuntrustedunsignedprocessesthatrunfromusb_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-Win10,/attacksurfacereductionrules_blockuntrustedunsignedprocessesthatrunfromusb-Win10,"""blockuntrustedunsignedprocessesthatrunfromusb_block""","""blockuntrustedunsignedprocessesthatrunfromusb_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockcredentialstealingfromwindowslocalsecurityauthoritysubsystem-Win11,/attacksurfacereductionrules_blockcredentialstealingfromwindowslocalsecurityauthoritysubsystem-Win11,"""blockcredentialstealingfromwindowslocalsecurityauthoritysubsystem_block""","""blockcredentialstealingfromwindowslocalsecurityauthoritysubsystem_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockcredentialstealingfromwindowslocalsecurityauthoritysubsystem-Win10,/attacksurfacereductionrules_blockcredentialstealingfromwindowslocalsecurityauthoritysubsystem-Win10,"""blockcredentialstealingfromwindowslocalsecurityauthoritysubsystem_block""","""blockcredentialstealingfromwindowslocalsecurityauthoritysubsystem_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockofficecommunicationappfromcreatingchildprocesses-Win11,/attacksurfacereductionrules_blockofficecommunicationappfromcreatingchildprocesses-Win11,"""blockofficecommunicationappfromcreatingchildprocesses_block""","""blockofficecommunicationappfromcreatingchildprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockallofficeapplicationsfromcreatingchildprocesses-Win11,/attacksurfacereductionrules_blockallofficeapplicationsfromcreatingchildprocesses-Win11,"""blockallofficeapplicationsfromcreatingchildprocesses_block""","""blockallofficeapplicationsfromcreatingchildprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockallofficeapplicationsfromcreatingchildprocesses-Win10,/attacksurfacereductionrules_blockallofficeapplicationsfromcreatingchildprocesses-Win10,"""blockallofficeapplicationsfromcreatingchildprocesses_block""","""blockallofficeapplicationsfromcreatingchildprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockofficecommunicationappfromcreatingchildprocesses-Win10,/attacksurfacereductionrules_blockofficecommunicationappfromcreatingchildprocesses-Win10,"""blockofficecommunicationappfromcreatingchildprocesses_block""","""blockofficecommunicationappfromcreatingchildprocesses_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockexecutablefilesrunningunlesstheymeetprevalenceagetrustedlistcriterion-Win11,/attacksurfacereductionrules_blockexecutablefilesrunningunlesstheymeetprevalenceagetrustedlistcriterion-Win11,"""blockexecutablefilesrunningunlesstheymeetprevalenceagetrustedlistcriterion_block""","""blockexecutablefilesrunningunlesstheymeetprevalenceagetrustedlistcriterion_audit""",OutOfSync
IntuneAttackSurfaceReductionPolicyConfiguration,B365-W10/11-Endpoint-ASR-Attack Surface Reduction Rules (Audit Only) v4.1 - attacksurfacereductionrules_blockexecutablefilesrunningunlesstheymeetprevalenceagetrustedlistcriterion-Win10,/attacksurfacereductionrules_blockexecutablefilesrunningunlesstheymeetprevalenceagetrustedlistcriterion-Win10,"""blockexecutablefilesrunningunlesstheymeetprevalenceagetrustedlistcriterion_block""","""blockexecutablefilesrunningunlesstheymeetprevalenceagetrustedlistcriterion_audit""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10/11-Endpoint-Antivirus-Defender Configuration v4.1 - defender_puaprotection-Win11,/defender_puaprotection-Win11,"""puaprotection_1""","""puaprotection_2""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10/11-Endpoint-Antivirus-Defender Configuration v4.1 - defender_puaprotection-Win10,/defender_puaprotection-Win10,"""puaprotection_1""","""puaprotection_2""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10/11-Endpoint-Antivirus-Defender Configuration v4.1 - defender_allowintrusionpreventionsystem-Win11,/defender_allowintrusionpreventionsystem-Win11,"""allowintrusionpreventionsystem_0""","""allowintrusionpreventionsystem_1""",OutOfSync
IntuneAntiVirusPolicyConfiguration,B365-W10/11-Endpoint-Antivirus-Defender Configuration v4.1 - defender_allowintrusionpreventionsystem-Win10,/defender_allowintrusionpreventionsystem-Win10,"""allowintrusionpreventionsystem_0""","""allowintrusionpreventionsystem_1""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/androidRestriction/platformBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/macOSRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/macRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/windowsHomeSkuRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
IntuneEnrollmentRestrictionConfigurations,All users and all devices,/windowsRestriction/personalDeviceEnrollmentBlocked,"""true""","""False""",OutOfSync
